row;position;condition;heigth;species;ants;locusts;stick;notes
5;9;2;10;P;x;x;;Few leaves
5;10;3;10;G;;x;;
5;11;3;10;Y;;;;
5;12;3;10;L;;;;
5;13;0;10;?;;;;
5;14;3;10;G;;x;;
5;15;0;10;P;;;;
5;16;4;10;Cu;;;;
5;17;3;10;Cu;;;;recovering, new shoots, tip dry
5;18;3;10;L;;;;
5;19;3;10;Y;;;;
5;20;3;10;Y;;;;losing leaves
5;21;3;10;P;;;;recovering, tip dry
5;22;3;10;Cu;;;;
5;23;3;10;Y;;;;
5;24;3;10;L;;;;
5;25;0;10;P;;;;
5;26;3;10;L;x;;;
5;27;3;10;C;;;;
5;28;3;10;G;x;;;
5;29;2;10;L;;;;leaves turn black, but has new leaves
5;30;3;10;C;;;;
5;31; 3;10;Y;;;;loses leaves, shoots
5;32;0;10;P;;;;
5;33;3;10;L;;;;
5;34;3;10;P;x;;;
5;35;3;10;Y;;;;
5;36;3;10;L;;;;
5;37;3;10;Cu;;;!;
5;38;3;10;Y;;;;loses leaves
6;1;3;10;Cu;;;;
6;2;3;10;Y;;;;
6;3;3;10;Y;;;;
6;4;3;10;Cu;;;;
6;5;3;10;Y;;;;
6;6;2;10;P;;;;bare, fresh leaves at tip
6;7;3;10;G;;x;;
6;8;3;10;Y;;;;
6;9;2;10;Y;;;!;few leaves
6;10;2;10;P;x;;;recovering, new shoots, few leaves at tip
6;11;3;10;U;;;;
6;12;0;10;P;;;;
6;13;3;10;Y;;;;few leaves
6;14;0;10;Y;;;;
6;15;3;10;Y;;;;
6;16;4;10;Y;;;;
6;17;2;10;L;;;;light spots on leaves 2> turn into holes!
6;18;3;10;Y;;;;
6;19;3;10;U;;;;
6;20;3;10;L;;;;
6;21;3;10;Y;;;;
6;22;3;10;L;x;;;
6;23;3;10;Cu;;;;
6;24;3;10;Y;;;;
6;25;3;10;Y;;;;
6;26;3;10;Y;;;;
6;27;2;10;L;;x;;light spots on leaves 2> turn into holes!
6;28;3;10;Y;;;;
6;29;3;10;Cu;;;;
6;30;3;10;Y;;;;
6;31;2;10;L;x;x;;bare
6;32;3;10;Y;;;;
6;33;3;10;P;;;;
6;34;3;10;Cu;x;;;
6;35;2;10;L;;;;Leaves turn black
6;36;3;10;Y;;;;
6;37;3;10;Cu;;;!;
6;38;3;10;G;;;;
7;1;3;10;Y;;;;
7;2;3;10;G;;x;;Tip dry, new shoots
7;3;3;10;G;;x;;
7;4;3;10;Y;;;;
7;5;2;10;C;;;;Almost bare, 1 branch at tip, old leaves
7;6;3;10;Cu;;;;
7;7;3;10;Y;;;;
7;8;3;10;Cu;;;;
7;9;4;10;L;x;;;
7;10;3;10;Cu;;;;
7;11;3;10;Y;;;;
7;12;3;10;Y;;;;
7;13;0;10;Y;;;;
7;14;2;10;L;;;;Leaves turning yellow
7;15;3;10;Y;;;;
7;16;3;10;P;x;;;New leaves less severely affected m. A
7;17;3;10;L;;;;
7;18;3;10;G;;x;;
7;19;3;10;Cu;;;;
7;20;2;10;Y;;;;Tip dry, new shoots, recovering
7;21;2;10;G;;;;Tip dry, recovering
7;22;3;10;Y;;; ;
7;23;3;10;Y;;;;
7;24;3;10;Y;;;;
7;25;3;10;G;;x;;
7;26;3;10;L;;;;
7;27;3;10;Y;;;;
7;28;3;10;P;;x;;
7;29;3;10;Y;;;;
7;30;3;10;U;x;;!;
7;31;3;10;Y;;;;
7;32;4;10;Cu;;;!;
7;33;3;10;Y;;;;
7;34;3;10;Y;;;;recovering, new shoots
7;35;3;10;Cu;;;;
7;36;0;10;?;;;;nothing to see
7;37;0;10;?;;;;
7;38;3;10;G;;x;;
8;1;3;10;G;;x;;
8;2;3;10;Y;;;;
8;3;4;10;C;;;;losing leaves
8;4;3;10;Y;;;;
8;5;2;10;Y;;;;tip dry, shoots at base
8;6;0;10;P;;;;
8;7;2;10;L;x;;;
8;8;2;10;P;x;;;almost bare, shoots at tip
8;9;2;15;Y;x;;;bare, shoots at tip 
8;10;3;10;Y;;;;
8;11;3;10;U;x;;;
8;12;3;10;P;;x;;
8;13;2;10;Y;x;;;almost bare, shoots at tip
8;14;3;10;Y;;;;
8;15;3;10;G;;;;
8;16;3;10;G;;;;
8;17;3;10;L;;;;losing leaves
8;18;0;10;P;;;;
8;19;3;10;L;;;;
8;20;3;10;U;x;;;
8;21;3;10;Y;x;;;
8;22;3;10;G;;;;
8;23;3;10;Y;;;;
8;24;3;10;L;;;;
8;25;3;10;Y;;;;
8;26;3;10;Y;;;;
8;27;3;10;G;x;;;
8;28;3;10;Cu;;;;
8;29;4;10;G;;;;
8;30;3;10;Y;;;;
8;31;3;10;G;;x;;
8;32;3;10;Y;;;;loses leaves
8;33;3;10;G;;;;
8;34;3;10;Cu;;;;
8;35;2;10;U;;;;Main shoot dry, new shoot at base
8;36;3;10;U;;;;
8;37;3;10;Cu;x;;!;
8;38;2;20;Y;;;;Almost bare, shoots at tip
9;1;3;10;Cu;;;;
9;2;3;10;Y;;;;
9;3;3;10;G;x;x;;
9;4;3;10;Cu;;;;
9;5;3;10;Y;;;;
9;6;3;10;U;;;;
9;7;3;10;G;x;;;
9;8;3;10;G;x;;;
9;9;3;10;U;x;;;
9;10;3;10;G;;x;;
9;11;3;10;Y;;;;
9;12;3;10;Y;;;;
9;13;3;10;L;;;;
9;14;3;10;Y;;;;
9;15;3;10;L;;;;Leaves turn dark
9;16;3;10;Y;;;;
9;17;3;10;P;x;;;
9;18;3;10;L;x;;;
9;19;3;10;G;;x;;
9;20;2;10;L;x;;;Leaves turn dark and develop holes in places
9;21;2;10;L;x;;;Leaves turn dark and develop holes in places
9;22;2;10;P;x;x;;
9;23;3;10;G;;;;
9;24;3;10;U;x;;;
9;25;3;10;Cu;;;;
9;26;0;10;P;;;;
9;27;3;10;Y;;;;
9;28;3;10;Y;;;!;
9;29;3;10;Y;;;;
9;30;2;10;L;x;;;Leaves turn dark and develop holes in places
9;31;0;10;P;;;;
9;32;3;10;Y;;;;Loses leaves
9;33;0;10;P;;;;
9;34;2;10;L;x;;;
9;35;2;10;Y;;;!;bare
9;36;3;10;G;x;x;;
9;37;2;10;Y;;;;bare
9;38;3;10;G;;;;
10;1;2;10;Y;;;;few leaves, new shoots
10;2;3;10;G;;;;
10;3;3;10;Cu;;;;
10;4;3;10;G;x;;;
10;5;3;10;Y;;;;losing leaves
10;6;3;10;G;;;;
10;7;3;10;Y;;;;
10;8;2;10;Y;;;;almost bare
10;9;2;10;Y;;;;few leaves, new shoots
10;10;2;10;Y;;;;few leaves, new shoots
10;11;3;10;Cu;;;;
10;12;3;10;G;x;;;
10;13;3;10;Y;;;;
10;14;3;10;G;;x;;
10;15;3;10;Y;;;;few leaves, new shoots, recovering
10;16;3;10;L;;;;
10;17;3;10;P;;;;
10;18;3;10;Y;;;;
10;19;3;10;U;;;;
10;20;4;10;Y;;;;
10;21;3;10;Y;;;;
10;22;4;10;Cu;;;;
10;23;3;10;Y;;;;loses leaves
10;24;3;10;Cu;;;;
10;25;2;10;L;;;;leaves with dark spots, brown edges
10;26;3;10;Y;;;;
10;27;3;10;G;;x;;
10;28;3;10;Y;;;;
10;29;3;10;Y;;;;loses leaves
10;30;3;10;Y;;;;
10;31;4;10;L;x;;!;
10;32;2;20;Y;;;;bare, shoots at tip
10;33;4;10;C;x;;;loses leaves
10;34;3;10;G;;x;;
10;35;2;20;Cu;;;;bare
10;36;3;10;L;;;;leaves turning black
10;37;0;10;P;;;;
11;1;2;10;Y;;;;almost bare, new leaves at tip
11;2;2;10;Y;;;;almost bare, new leaves at tip
11;3;4;10;Cu;;;!;
11;4;3;10;G;;x;;
11;5;3;10;Y;;;;losing leaves
11;6;3;10;P;;;;recovering
11;7;3;10;Cu;;;!;
11;8;2;20;P;;;;bare, shoots on stems
11;9;2;10;P;x;;;
11;10;2;10;Y;;;;bare, old stock
11;11;3;10;Cu;;;!;
11;12;3;10;L;;;;
11;13;3;10;Cu;;;;
11;14;2;15;Y;;;;bare, 2 branches at tip 
11;15;3;10;P;;x;;
11;16;3;10;Y;;;;
11;17;2;10;L;;x;;Leaves turning black
11;18;2;10;P;x;;;New shoots 2 becoming slow
11;19;0;10;P;;;;
11;20;3;10;Y;;;;
11;21;3;10;P;;;;recovering, new shoots
11;22;3;10;P;;;;
11;23;3;10;Y;;;;
11;24;3;10;Cu;;;;
11;25;3;10;Cu;;;!;
11;26;3;10;Y;;;;
11;27;3;10;Cu;;;!;
11;28;3;10;L;x;;;
11;29;3;10;Cu;;;;
11;30;2;10;P;;;;new shoots, recovering
11;31;2;10;L;;;;new shoots from base, tip dry
11;32;3;10;Y;;;!;
11;33;3;10;G;;;;
11;34;3;10;Cu;;;!;
11;35;3;10;Y;;;;
11;36;3;10;Y;;;;
11;37;2;25;P;x;;;bare, new shoots on stem
11;38;3;10;P;;;;
11;39;2;10;L;x;x;;Leaves turning black
12;1;3;10;L;;;;
12;2;3;10;G;;;;
12;3;3;10;G;;x;;
12;4;3;10;G;;;;
12;5;2;10;Y;;;;new shoots, recovering
12;6;2;10;L;x;;;
12;7;2;10;Cu;;;;few leaves
12;8;2;15;Y;;;;bare, shoots at tip 
12;9;3;10;P;;;;
12;10;2;10;L;;;;leaves dry spots 2 holes
12;11;4;10;Cu;;;!;
12;12;2;10;Y;x;;;new shoots, almost bare
12;13;3;10;L;;;;leaves dark spots
12;14;3;10;Cu;;;!;
12;15;2;5;P;;;;Stems broken off (cows!?), bare
12;16;3;10;G;;x;;
12;17;3;10;Cu;;;;
12;18;3;10;Y;;;;
12;19;3;10;P;x;;;
12;20;2;10;Y;;;;bare, shoots at base
12;21;2;10;P;;;;recovering
12;22;2;10;P;;;;new shoots 2 recovering
12;23;3;10;Y;;;;
12;24;3;10;Cu;;;;
12;25;2;10;L;x;;;almost bare, traces of feeding
12;26;3;10;L;;x;;
12;27;3;10;U;;x;!;
12;28;3;10;L;x;;;
12;29;3;10;G;x;;;
12;30;3;10;Cu;;;!;
12;31;2;10;P;;;;recovering
12;32;3;10;G;;x;;
12;33;2;10;Cu;;;;tip bare, recovering
12;34;3;10;Y;;;;
12;35;3;10;G;;x;;
12;36;3;10;L;;;;Leaves turning black
12;37;3;10;P;x;;;
13;1;3;10;Y;;;;New shoots, recovering
13;2;3;10;P;;;;
13;3;2;10;Y;x;;;few leaves, new shoots
13;4;3;10;L;;;;
13;5;3;10;G;x;;;
13;6;3;10;Y;;;;
13;7;3;10;L;;;;
13;8;0;10;P;;;;nothing to see
13;9;3;10;Cu;;;!;
13;10;3;10;P;;x;;
13;11;3;10;Y;;;;
13;12;3;10;P;x;;;
13;13;3;10;Y;;;;
13;14;3;10;L;;;;
13;15;3;10;P;;;;
13;16;3;10;Cu;;;!;
13;17;3;10;Y;;;;
13;18;2;10;Y;;;;few leaves, shoots at tip
13;19;4;10;Cu;;;!;
13;20;3;10;G;x;x;!;
13;21;3;10;Y;;;;
13;22;2;25;Cu;;;;tip removed, new shoots in upper 1/3, otherwise bare
13;23;3;10;L;x;;;leaves turning black
13;24;3;10;Y;;;;
13;25;3;10;G;;x;!;
13;26;2;10;P;x;;;Leaves partially dry
13;27;3;10;Y;;;;
13;28;3;10;Y;;;;
13;29;3;10;Cu;;;;
13;30;3;10;U;x;;!;
13;31;3;10;Y;;;;
13;32;0;10;P;;;;
13;33;3;10;Y;;;!;
13;34;4;10;Cu;;;!;
13;35;3;10;Y;;;;
13;36;3;10;Y;;;;
13;37;3;10;Y;;;;
14;1;3;10;Cu;;;!;
14;2;3;10;C;;;;
14;3;3;20;Y;;;!;bald, 2 new small branches at the tip
14;4;3;10;U;;;;
14;5;3;10;Cu;;;;
14;6;3;10;G;;;;
14;7;3;10;Cu;;;!;
14;8;3;10;G;;x;;
14;9;2;10;P;;;;dry, probably dead
14;10;4;10;Cu;;;!;
14;11;3;10;L;;;;Leaves with dry edges
14;12;3;10;Y;;;;
14;13;4;50;G;;x;!;
14;14;2;20;Y;;;;bare, 2 new small branches at tip
14;15;2;10;P;;;;dry, probably dead
14;16;3;10;Y;;;;
14;17;3;10;L;;;;leaves with black spots
14;18;4;50;G;x;x;!;
14;19;2;20;Y;x;;;bare, 2 new small branches at tip
14;20;3;10;Y;;;;
14;21;3;10;G;x;x;;
14;22;3;10;L;;;;Leaves turning black
14;23;3;10;Y;;;;New shoots, 2 new branches at tip
14;24;3;10;Y;;;;
14;25;3;10;G;x;;;Many new leaves on entire stem
14;26;3;10;Y;;;;
14;27;3;10;G;;x;;
14;28;3;10;U;x;;;tip dry
14;29;3;10;Y;;;;
14;30;2;10;P;;;;recovering, 6 new leaves at tip
14;31;3;10;Y;;;;
14;32;4;10;Y;;;!;
14;33;4;10;L;;;!;
14;34;3;10;G;;;;
14;35;3;10;P;x;;;
14;36;3;10;Y;;;;
14;37;4;10;Y;;;;
15;1;3;10;P;;x;;
15;2;2;10;Y;;;;bald
15;3;3;10;U;;;;
15;4;3;10;Cu;;;!;
15;5;2;10;L;x;;;small, shoots at tip, leaf: holey, brown
15;6;3;10;U;x;;!;
15;7;3;10;G;;;;
15;8;3;20;Y;;;;2 branches at tip 3 shoots
15;9;2;10;P;;;;bare, dry, probably dead
15;10;3;10;U;;;;
15;11;3;10;Y;;;;
15;12;3;10;L;;x;;
15;13;3;10;G;;;;
15;14;3;10;L;;;!;
15;15;4;10;L;;;!;Leaves: partially brown edges
15;16;2;10;G;x;;;few leaves
15;17;3;10;Cu;;;!;
15;18;3;10;P;;;;recovering, 5 new leaves at tip
15;19;0;10;P;;;;
15;20;3;10;G;;x;!;
15;21;2;10;Cu;;;;main shoot dead, 4 new leaves at base
15;22;3;10;G;;;;
15;23;2;15;Y;;;;bare
15;24;0;10;P;;;;
15;25;2;10;L;;;;main shoot dead, new shoots at base
15;26;3;10;G;;;;
15;27;4;10;P;;;;
15;28;2;10;L;;x;;3 new branches at tip
15;29;3;10;U;x;;!;
15;30;2;10;Y;;;!;
15;31;3;10;Cu;;;!;
15;32;4;50;G;x;;!;
15;33;4;10;P;x;;;
15;34;3;10;Y;;;;
15;35;3;10;P;;;;
15;36;2;15;Y;;;;bare
15;37;0;10;P;;;;
16;1;3;10;G;;;;
16;2;3;10;G;;x;!;
16;3;3;10;Cu;;;!;
16;4;3;10;L;;;;
16;5;3;10;Y;;;;
16;6;4;30;P;;;;new leaves at tip
16;7;3;10;Y;;;;
16;8;3;10;P;;x;;
16;9;4;50;G;x;x;!;
16;10;3;10;U;;x;!;
16;11;3;10;G;;;;
16;12;4;10;C;;;;
16;13;3;10;Y;;;;
16;14;3;10;Cu;;;;
16;15;3;10;Cu;;;;
16;16;3;10;Y;;;;
16;17;4;30;P;;;!;recovering, new shoots, many new leaves
16;18;3;10;G;;x;;
16;19;3;10;G;x;;;
16;20;3;10;Cu;;;!;
16;21;0;10;P;;;;
16;22;3;10;G;x;;;
16;23;2;10;P;;;;new shoots
16;24;0;10;P;;;;nothing to see
16;25;3;10;U;;;;
16;26;3;10;L;x;;!;Leaves: partially perforated and black spots
16;27;3;10;L;x;;;Leaves: partially perforated and black spots
16;28;3;10;Y;;;;
16;29;3;10;L;;;;Leaves dark spots, brown edges
16;30;3;10;L;;;!;Leaves dark spots, brown edges
16;31;3;10;L;;;;Leaves dark spots, brown edges
16;32;3;10;L;;;;Leaves with dark spots,  brown edges
16;33;2;10;Y;;;;Bare
16;34;4;40;G;;;;
16;35;3;10;Y;;;;
16;36;3;10;P;x;;;
16;37;2;10;Y;;;;almost bare, shoots at tip
17;1;3;10;Y;;;;
17;2;3;10;G;x;;;
17;3;3;10;G;x;;;
17;4;3;10;Cu;;;;
17;5;2;10;P;;;;new shoots at tip, very weak
17;6;3;10;Y;;;;
17;7;3;10;Cu;;;;
17;8;0;10;P;;;;
17;9;3;10;Cu;;;;
17;10;3;10;Cu;;;!;
17;11;3;10;P;;;;recovering, new leaves at tip
17;12;3;10;L;x;;;
17;13;3;10;P;;x;;
17;14;3;10;L;x;;;
17;15;3;10;P;;;;
17;16;3;10;Y;;;;
17;17;3;10;G;;;;
17;18;3;10;Cu;;;!;
17;19;3;10;L;;;!;
17;20;3;10;G;;x;;
17;21;3;10;P;;;;recovering, new leaves at tip and stem
17;22;3;10;Y;;;;
17;23;4;50;G;;x;!;
17;24;3;10;L;;;;
17;25;3;10;Y;;;;
17;26;3;10;P;x;;;
17;27;3;10;G;;;;
17;28;3;10;Y;;;;
17;29;3;10;G;x;;;
17;30;3;10;L;;;;
17;31;3;10;Y;;;;
17;32;3;10;P;;;;
17;33;3;10;U;;;;many new leaves
17;34;3;10;Y;;;!;
17;35;3;10;Cu;;;!;
17;36;3;10;L;;;!;
17;37;4;10;P;;;;
18;1;3;10;L;;;;
18;2;3;10;Cu;;;;
18;3;3;10;G;x;;;
18;4;3;10;Cu;;;!;
18;5;3;10;Cu;;;!;
18;6;3;10;Y;;;;
18;7;2;10;L;x;;;new shoots
18;8;3;10;Cu;;;!;
18;9;3;10;U;;;!;
18;10;2;10;C;;;;new shoots at base, very small and weak
18;11;3;10;Cu;;;!;
18;12;3;10;L;;;;
18;13;3;10;P;;;;recovering, still very weak
18;14;3;10;Y;;;;
18;15;3;10;L;;;!;
18;16;3;10;L;;;!;
18;17;3;10;G;;x;!;
18;18;3;10;Y;;;;
18;19;3;10;G;;;;
18;20;3;10;Y;;;;
18;21;3;10;L;;;!;
18;22;3;10;P;;;;recovering, new leaves at tip
18;23;3;10;P;;;;
18;24;0;10;P;;;;
18;25;3;10;Y;;;;
18;26;3;10;Y;;;;
18;27;3;10;P;;;;
18;28;3;10;L;;;!;
18;29;3;10;Y;;;;
18;30;3;10;Y;;;;
18;31;3;10;Y;;;;
18;32;3;10;L;x;;!;
18;33;3;10;G;;;;
18;34;3;10;L;;;;Leaves with dark spots, brown edges
18;35;2;10;L;;;;bare, dry, probably dead
18;36;3;10;L;;;;Leaves with dark spots,  brown edges
18;37;3;10;L;;;;
19;1;3;10;L;x;;;
19;2;3;10;Cu;;;!;
19;3;3;10;G;;;;
19;4;2;5;P;;;;bare, appears to still be green
19;5;0;10;P;;;;
19;6;3;10;Cu;;;!;
19;7;3;10;G;;x;;
19;8;3;10;G;;;;
19;9;3;10;U;;;;
19;10;3;10;G;x;;;
19;11;3;10;Cu;;;!;
19;12;3;10;G;;x;;
19;13;2;10;P;;;;new shoots, 5 new leaves at tip
19;14;3;10;Y;;;;
19;15;3;10;Y;;;;
19;16;3;10;Y;;;;
19;17;3;10;y;;;;
19;18;3;10;y;;;;
19;19;3;10;L;;;;
19;20;2;15;Y;;;;bare, leaves dry
19;21;3;10;Y;;;;
19;22;3;10;Y;;;;
19;23;3;10;Y;;;;
19;24;3;10;Y;;;;
19;25;3;10;Y;;;;
19;26;3;10;P;;;;1/3 dry, new shoots, many new leaves on the stem
19;27;3;10;Y;;;;
19;28;2;10;P;;;;Tip dry, new shoots
19;29;3;10;Y;;;;
19;30;3;10;Cu;;;;
19;31;2;10;L;;;;
19;32;3;10;G;;;;
19;33;3;10;Y;;;;
19;34;3;10;Y;;;;
19;35;3;10;Y;;;;
19;36;3;10;L;;;!;
19;37;3;10;Cu;;;;
20;1;3;10;Y;;;;
20;2;3;10;G;;;;
20;3;3;10;Y;;;;
20;4;2;10;G;;;;Stems with shoots, no tip, new leaves at base
20;5;3;10;Y;;;;
20;6;3;10;L;;;;Leaves with brown edges
20;7;3;10;Y;;;;
20;8;2;10;P;;;;
20;9;3;10;Y;;;;
20;10;2;15;Y;;;;Almost bare, shoots at base and tip
20;11;3;10;G;;x;;
20;12;3;10;L;x;;;
20;13;2;10;P;x;;;recovering
20;14;3;10;Y;;;;losing leaves
20;15;3;10;Y;;;;
20;16;3;10;P;;;;
20;17;3;10;Y;;;;
20;18;3;10;Y;;;;
20;19;3;10;P;;;;
20;20;3;10;Y;;;;
20;21;3;10;L;;;;
20;22;3;10;Y;;;;
20;23;0;10;P;;;;
20;24;3;10;Y;;;;
20;25;3;10;P;x;;;
20;26;3;10;G;x;;;
20;27;3;10;Y;;;;
20;28;3;10;L;x;;;
20;29;3;10;Y;;;;
20;30;3;10;Cu;;;!;
20;31;3;10;C;;;!;
20;32;3;10;L;;;;Leaves turn dark
20;33;3;10;Y;;;;
20;34;3;10;G;;;;
20;35;3;10;Y;;;;
20;36;3;10;U;;;;
20;37;3;10;Cu;;;;
21;1;3;10;Y;;;;
21;2;4;10;L;;;!;
21;3;3;10;Cu;;;!;
21;4;3;40;Y;;;!;
21;5;3;10;P;x;;;
21;6;3;10;L;;;!;
21;7;3;10;Cu;;;!;
21;8;3;10;G;;;;
21;9;3;10;Y;;;;
21;10;3;10;Cu;;;;
21;11;3;10;L;x;;;
21;12;2;10;P;;;;1/3 dry, new shoots, new leaves on the stem
21;13;3;10;G;x;;;
21;14;3;10;Cu;;;!;
21;15;3;10;C;;;;
21;16;3;10;Y;;;;
21;17;3;10;L;;;;
21;18;3;10;G;;;;
21;19;3;10;Y;;;;
21;20;4;10;L;;;!;
21;21;3;10;Cu;;;!;
21;22;3;10;Y;;;;
21;23;3;10;Cu;;;;
21;24;3;10;G;;;;
21;25;2;10;Cu;;;;Tip off, many new leaves on the stem
21;26;3;10;Y;;;;
21;27;3;10;Cu;;;!;
21;28;3;10;Y;;;;
21;29;3;40;G;;;!;
21;30;3;10;Y;;;;
21;31;3;10;L;;;;
21;32;3;10;Y;;;;
21;33;0;10;?;;;;nothing more to be seen
21;34;4;30;Y;;;;
21;35;3;10;L;x;;!;
21;36;3;10;Cu;x;;;
21;37;3;10;G;;x;;
22;1;3;10;G;;x;;
22;2;4;10;P;x;;;
22;3;3;10;P;;;;
22;4;4;10;L;;;!;
22;5;3;10;Cu;;;!;
22;6;3;10;Cu;;;!;
22;7;3;10;Y;;;;
22;8;4;10;L;;;!;
22;9;3;10;Y;;;;
22;10;3;10;G;;x;;
22;11;3;10;G;;;;
22;12;3;10;Y;;;;
22;13;3;10;Y;;;!;
22;14;3;10;P;;;;
22;15;3;10;L;x;;;
22;16;3;10;P;;;;
22;17;4;10;L;;;;
22;18;3;10;Cu;;;!;
22;19;3;10;L;x;;;Leaves with dark spots, brown edges
22;20;3;10;G;x;;;
22;21;3;10;G;;;;
22;22;2;10;L;;x;!;
22;23;3;10;L;;;!;
22;24;3;10;Y;;;;
