row;position;condition;heigth;species;ants;locusts;notes
4;21;2;10;P;;;Replace? recovering
4;22;2;40;Y;;;
4;23;2;50;L;;;
4;24;3;40;Y;;;
4;25;2;40;Y;;;
4;26;2;30;G;;;
4;27;4;160;Cu;;;
4;28;3;60;Y;;;
4;29;3;40;L;;;
4;30;3;50;Y;;;
4;31;4;100;L;;;
4;32;3;40;P;;;
4;33;3;50;Y;;;
4;34;2;30;Y;;;Replace?
4;35;4;160;Cu;;;
4;36;3;40;L;;;recovering
4;37;2;40;Y;;;
4;38;4;120;L;;;
4;39;3;80;P;;x;
5;1;4;100;G;;;
5;2;4;200;Cu;;;
5;3;3;40;Y;;;
5;4;3;40;G;;;
5;5;0;0;C;;;
5;6;2;30;Y;;;
5;7;0;0;C;;;
5;8;2;30;G;;;Replace? presumed dead
5;9;2;20;P;;;Replace? presumed dead
5;10;2;30;G;;;Replace?
5;11;3;40;Y;;;
5;12;2;60;L;;;
5;13;3;50;Ti;;;replacement delivery 10/23
5;14;2;20;G;;;Replace? presumed dead
5;15;2;15;L;;;replacement delivery 10/23
5;16;4;200;Cu;;;
5;17;4;200;Cu;;;
5;18;2;20;L;;;
5;19;2;30;Y;;;Replace? presumed dead
5;20;0;0;Y;;;
5;21;2;15;P;;;recovering
5;22;4;180;Cu;;;
5;23;3;50;Y;;;
5;24;3;50;L;;;
5;25;4;160;Ti;;;replacement delivery 10/23
5;26;3;40;L;;;
5;27;2;30;C;;;
5;28;3;30;G;;;
5;29;3;40;L;;;
5;30;2;40;C;;;
5;31;3;40;Y;;;
5;32;2;10;G;;;replacement delivery 10/23
5;33;3;30;L;;;
5;34;2;30;P;;;recovering
5;35;3;50;Y;;;
5;36;0;0;L;;;
5;37;4;180;Cu;;;
5;38;4;120;Y;;;
6;1;4;200;Cu;x;;
6;2;3;30;Y;;;
6;3;2;40;Y;;;
6;4;3;70;Cu;;;
6;5;3;40;Y;;;
6;6;3;100;Ti;;;replacement delivery 10/23
6;7;2;40;G;;;
6;8;3;50;Y;;;recovering
6;9;0;0;Y;;;
6;10;0;0;P;;;Replace? nothing to see
6;11;3;60;U;;;
6;12;0;0;G;;;replacement delivery 10/23
6;13;2;40;Y;;;
6;14;2;20;Cu;;;replacement delivery 10/23
6;15;2;40;Y;;;
6;16;3;40;Y;;;
6;17;3;20;L;;;
6;18;2;40;Y;;;
6;19;3;30;U;;;recovering
6;20;2;30;L;;;recovering
6;21;2;50;Y;x;;2 trees next to each other, 1 removed later
6;22;2;40;L;;;
6;23;4;160;Cu;;;
6;24;2;40;Y;;;
6;25;0;0;Y;;;
6;26;2;40;Y;;;
6;27;3;50;L;;;
6;28;3;40;Y;;;
6;29;4;160;Cu;;;
6;30;3;40;Y;;;
6;31;3;60;L;;;replacement delivery 10/23
6;32;3;70;Y;;;
6;33;3;30;P;;;Stick missing
6;34;4;180;Cu;;;
6;35;3;40;G;;;replacement delivery 10/23
6;36;3;60;Y;;;
6;37;2;130;Cu;;;
6;38;0;0;G;;;Replace? nothing to see
7;1;4;150;Y;;;
7;2;2;30;G;;;Stick missing
7;3;3;50;G;;;
7;4;3;40;Y;;;
7;5;3;30;C;;;recovering
7;6;3;80;Cu;;;
7;7;3;50;Y;;;
7;8;3;120;Cu;;;
7;9;3;50;L;;;
7;10;3;110;Cu;;;
7;11;2;30;Y;;;Stick missing
7;12;3;40;Y;;;
7;13;3;120;Ti;;;replacement delivery 10/23
7;14;3;30;L;;;
7;15;2;50;Y;;;
7;16;3;25;P;;;recovering
7;17;3;60;L;;;
7;18;2;30;G;;;Replace?
7;19;4;130;Cu;;;
7;20;0;0;Y;;;Replace? nothing to see
7;21;2;20;G;;;Replace?
7;22;3;60;Y;;;
7;23;3;50;Y;;;
7;24;2;40;Y;;;
7;25;2;50;G;;;
7;26;3;30;L;;;
7;27;3;40;Y;;;
7;28;2;40;P;;;
7;29;3;50;Y;;;
7;30;3;40;U;;;
7;31;2;30;Y;;;
7;32;4;200;Cu;;;
7;33;3;50;Y;;;
7;34;0;0;Y;;;Replace? nothing to see
7;35;4;150;Cu;;;
7;36;4;140;Ti;;;replacement delivery 10/23
7;37;4;120;Ti;;;replacement delivery 10/23
7;38;3;40;G;;;
8;1;4;110;G;;;2 trees next to each other, 1 removed later
8;2;4;70;Y;;;
8;3;4;40;C;;;
8;4;3;80;Y;;;
8;5;3;30;Y;;;recovering
8;6;3;70;Ti;;;replacement delivery 10/23 2 trees next to each other, 1 removed later
8;7;2;25;L;x;;recovering
8;8;2;20;P;;;recovering
8;9;3;40;Y;;;recovering
8;10;3;50;Y;;;
8;11;4;130;U;;;
8;12;3;40;P;;;
8;13;2;20;Y;;;Replace?
8;14;3;50;Y;;;
8;15;2;20;G;;;
8;16;2;25;G;;;
8;17;2;40;L;;;Replace?
8;18;2;25;Cu;;;replacement delivery 10/23
8;19;3;40;L;;;
8;20;4;100;U;;;
8;21;3;40;Y;;;
8;22;2;30;G;;;
8;23;2;40;Y;;;
8;24;3;30;L;;;recovering
8;25;2;40;Y;;;
8;26;2;40;Y;;;
8;27;2;30;G;;;recovering
8;28;3;160;Cu;;;
8;29;3;60;G;;;
8;30;2;40;Y;;;
8;31;3;50;G;;;
8;32;2;50;Y;;;
8;33;3;40;G;;;
8;34;3;140;Cu;;;
8;35;3;50;U;;;
8;36;4;80;U;;;
8;37;4;200;Cu;;;
8;38;4;120;Y;;;
9;1;3;140;Cu;;;
9;2;3;70;Y;;;
9;3;3;50;G;;;
9;4;4;200;Cu;;;
9;5;2;50;Y;;;
9;6;4;110;U;;;
9;7;3;30;G;;;
9;8;2;30;G;;;
9;9;3;80;U;;;
9;10;2;30;G;;;
9;11;3;40;Y;;;
9;12;2;40;Y;;;
9;13;2;40;L;;;
9;14;3;50;Y;;;
9;15;3;40;L;;;
9;16;2;40;Y;;;
9;17;3;25;P;;;Old stock right next to it (Yvyra pyta)
9;18;3;40;L;;;
9;19;2;30;G;;;Replace?
9;20;3;70;L;;;
9;21;3;50;L;;;
9;22;3;40;P;;;
9;23;2;25;G;;;
9;24;4;60;U;;;
9;25;4;200;Cu;;;
9;26;3;20;L;;;replacement delivery 10/23
9;27;2;40;Y;;;
9;28;3;60;Y;;;
9;29;3;40;Y;;;
9;30;2;30;L;;;
9;31;4;120;Ti;;;replacement delivery 10/23
9;32;2;40;Y;;;
9;33;2;20;Cu;;;replacement delivery 10/23
9;34;3;40;L;;;
9;35;2;30;Y;;;
9;36;3;50;G;;;
9;37;2;40;Y;;;
9;38;4;130;G;;;
10;1;2;60;Y;;;
10;2;3;110;G;;;
10;3;3;120;Cu;;;
10;4;2;50;G;;;
10;5;3;40;Y;;;
10;6;2;50;G;;;
10;7;3;70;Y;;;
10;8;2;30;Y;;;
10;9;2;50;Y;;;
10;10;2;40;Y;;;Old stock right next to it (Yvyra pyta)
10;11;4;200;Cu;;;
10;12;2;30;G;;;
10;13;2;40;Y;;;Old stock right next to it (Yvyra pyta)
10;14;3;60;G;;;
10;15;2;60;Y;;;Stick missing
10;16;3;60;L;;;
10;17;2;30;P;;;
10;18;3;70;Cu;;;replacement delivery 10/23
10;19;4;200;U;;;
10;20;4;200;Y;;;
10;21;4;130;Y;;;
10;22;4;200;Cu;;;
10;23;2;40;Y;;;
10;24;4;180;Cu;;;
10;25;3;40;L;;;
10;26;2;40;Y;;;
10;27;2;30;G;;;
10;28;2;50;Y;;;
10;29;2;40;Y;;;
10;30;3;50;Y;;;
10;31;4;150;L;;;
10;32;3;50;Y;;;Stick missing
10;33;2;30;C;;;
10;34;2;50;G;;;
10;35;4;150;Cu;;;
10;36;2;50;L;;;
10;37;3;40;Ti;;;replacement delivery 10/23
11;1;0;0;Y;;;Stick missing Replace? nothing to see
11;2;4;100;Y;;;
11;3;4;200;Cu;;;
11;4;2;25;G;;;Stick missing
11;5;2;50;Y;;;Stick missing
11;6;3;40;P;;;Stick missing
11;7;4;180;Cu;;;
11;8;3;40;L;;;replacement delivery 10/23
11;9;3;20;P;;;Stick missing recovering
11;10;;;Y;;;Old stock (Yvyra pyta)
11;11;3;140;Cu;;;Stick missing
11;12;3;60;L;;;Stick missing
11;13;3;120;Cu;;;
11;14;2;30;Y;;;
11;15;3;20;P;;;Stick missing
11;16;2;30;Y;;;Stick missing
11;17;3;40;L;;;Stick missing 2 trees next to each other, 1 removed later
11;18;2;20;P;;;Stick missing recovering
11;19;2;;L;;;Stick missing Replace? replacement delivery 10/23 nothing to see
11;20;2;40;Y;;;Stick missing
11;21;3;20;P;;;Stick missing
11;22;3;40;P;;;Stick missing
11;23;2;20;Y;;;Stick missing Replace? cut marks
11;24;3;150;Cu;;;Old stock right next to it (Yvyra pyta)
11;25;4;200;Cu;;;Old stock right next to it (Yvyra pyta)
11;26;2;30;Y;;;
11;27;4;160;Cu;;;
11;28;2;20;L;;;Stick missing
11;29;4;200;Cu;;;
11;30;3;20;P;;;Stick missing
11;31;2;10;L;;;Stick missing
11;32;2;40;Y;;;Stick missing
11;33;3;30;G;;;Stick missing
11;34;4;150;Cu;;;
11;35;2;40;Y;;;
11;36;3;50;Y;;;Stick missing
11;37;2;30;P;;;Stick missing
11;38;2;20;P;;;Stick missing Replace?
11;39;0;0;L;;;Replace? nothing to see
12;1;4;110;L;;;
12;2;3;30;G;;;Stick missing
12;3;2;40;G;;x;Stick missing
12;4;2;20;G;;;Stick missing Replace?
12;5;4;70;Y;;;Stick missing
12;6;4;100;L;;;
12;7;3;120;Cu;;;
12;8;2;30;Y;;;Stick missing
12;9;3;20;P;;;Stick missing
12;10;2;25;L;;;Stick missing
12;11;4;200;Cu;;;
12;12;0;0;Y;x;;Stick missing Replace? nothing to see
12;13;3;30;L;;;Stick missing
12;14;4;180;Cu;;;
12;15;3;30;P;;;Stick missing recovering
12;16;3;50;G;;;Stick missing
12;17;3;130;Cu;;;
12;18;3;50;Y;;;Stick missing
12;19;3;30;P;;;Stick missing recovering
12;20;0;0;Y;;;Stick missing Replace? nothing to see
12;21;0;0;P;;;Stick missing Replace? nothing to see
12;22;0;0;P;;;Stick missing Replace? recovering nothing to see
12;23;2;40;Y;;;Stick missing
12;24;4;200;Cu;;;
12;25;2;10;L;;;Stick missing Replace?
12;26;3;40;L;;;Stick missing
12;27;3;80;U;;;
12;28;3;50;L;;;Stick missing
12;29;3;40;G;;;Stick missing
12;30;3;160;Cu;;;Old stock right next to it (Yvyra pyta)
12;31;2;10;P;;;Stick missing Replace? recovering
12;32;3;30;G;;;Stick missing
12;33;3;160;Cu;;;
12;34;2;40;Y;;;Stick missing
12;35;3;60;G;;;Stick missing
12;36;3;70;L;;;Stick missing
12;37;3;120;P;;;Stick missing
13;1;3;70;Y;;;Neighbor's tree needs to be cut down (otherwise it will grow together)
13;2;2;30;P;;;Stick missing Replace? presumed dead
13;3;2;30;Y;;;Stick missing
13;4;3;50;L;;;
13;5;2;15;G;;;Stick missing Replace? cut marks
13;6;3;130;Y;;;
13;7;4;110;L;;;
13;8;3;100;Ti;;;replacement delivery 10/23
13;9;4;200;Cu;;;
13;10;3;40;P;;;Stick missing
13;11;3;70;Y;;;
13;12;2;15;P;;;Stick missing Replace?
13;13;2;40;Y;;;Stick missing
13;14;3;60;L;;;Stick missing
13;15;3;50;P;;;Stick missing
13;16;3;160;Cu;;;
13;17;4;110;Y;;;
13;18;2;40;Y;;;Stick missing
13;19;4;200;Cu;;;
13;20;2;30;G;;;Stick missing
13;21;4;50;Y;;;Stick missing
13;22;4;200;Cu;;;
13;23;4;80;L;;;Stick missing
13;24;4;80;Y;;;
13;25;2;60;G;;;Stick missing Replace?
13;26;3;30;P;;;Stick missing recovering
13;27;4;80;Y;;;Stick missing
13;28;4;120;Y;;;Stick missing Old stock right next to it (Paraiso)
13;29;3;180;Cu;;;
13;30;4;130;U;;;Old stock right next to it (Yvyra pyta)
13;31;2;30;Y;;;Stick missing Replace?
13;32;3;40;Cu;;;replacement delivery 10/23
13;33;3;90;Y;;;
13;34;3;200;Cu;;;
13;35;3;50;Y;;;Stick missing
13;36;2;50;Y;;;Stick missing
13;37;3;70;Y;;;Stick missing
14;1;4;200;Cu;;;
14;2;2;20;C;;;Stick missing Replace? presumed dead
14;3;2;50;Y;;;Stick missing
14;4;4;100;U;;;
14;5;3;180;Cu;;;
14;6;3;30;G;;;Stick missing
14;7;3;110;Cu;;;
14;8;3;40;G;;;Stick missing
14;9;3;40;L;;;replacement delivery 10/23
14;10;3;150;Cu;;;2 trees next to each other, 1 removed later
14;11;3;50;L;;;
14;12;3;50;Y;;;Stick missing
14;13;3;50;G;;;Stick missing
14;14;2;40;Y;;;Stick missing
14;15;2;20;G;;;replacement delivery 10/23
14;16;2;30;Y;;;Stick missing
14;17;3;40;L;;;Stick missing
14;18;3;50;G;;;Stick missing
14;19;2;40;Y;;;Stick missing
14;20;3;40;Y;;;Stick missing
14;21;3;60;G;;;Stick missing
14;22;3;40;L;;;Stick missing
14;23;2;25;Y;;;Stick missing
14;24;0;0;Y;;;Stick missing Replace? nothing to see
14;25;2;30;G;;;Stick missing
14;26;2;30;Y;;;Stick missing
14;27;3;40;G;;;Stick missing
14;28;2;10;U;;;Stick missing Replace? cut marks
14;29;4;110;Y;;;
14;30;3;20;P;;;Stick missing
14;31;4;160;Y;;;
14;32;2;50;Y;;;Stick missing
14;33;3;40;L;;;Stick missing
14;34;3;50;G;;;Stick missing
14;35;4;60;P;;;
14;36;4;100;Y;;;
14;37;4;200;Y;;;
15;1;2;40;P;;;Stick missing cut marks
15;2;2;110;Ti;;;replacement delivery 10/23
15;3;4;120;U;;;
15;4;3;160;Cu;;;
15;5;3;50;L;;;Stick missing
15;6;4;100;U;;;
15;7;3;30;G;;;Stick missing
15;8;3;60;Y;;;
15;9;3;130;Ti;;;replacement delivery 10/23
15;10;4;70;U;;;
15;11;3;30;Y;;;Stick missing
15;12;3;40;L;;;Stick missing
15;13;3;40;G;;;Stick missing
15;14;3;50;L;;;Stick missing
15;15;3;40;L;;;Stick missing
15;16;2;40;G;;;Stick missing
15;17;4;200;Cu;;;
15;18;2;20;P;;;Stick missing Replace?
15;19;2;20;L;;;replacement delivery 10/23
15;20;3;40;G;;;Stick missing
15;21;3;110;Cu;;;Old stock right next to it (Yvyra pyta)
15;22;2;30;G;;;Stick missing
15;23;0;0;Y;;;Stick missing Replace? nothing to see
15;24;2;40;Cu;;;replacement delivery 10/23
15;25;0;0;L;;;Stick missing Replace? nothing to see
15;26;2;25;G;;;Stick missing
15;27;4;80;P;;;Stick missing
15;28;3;40;L;;;Stick missing
15;29;3;40;U;;;Stick missing
15;30;3;160;Ti;;;Shrub next to it to be removed replacement delivery 10/23
15;31;3;150;Cu;;;
15;32;2;50;G;;;Stick missing
15;33;4;50;P;;;Stick missing
15;34;3;40;Y;;;Stick missing
15;35;4;100;P;;;
15;36;4;80;Y;;;Stick missing
15;37;2;160;Cu;;;Old stock right next to it(Curupa'y)
16;1;3;40;G;;;Stick missing
16;2;3;30;G;;;Stick missing
16;3;3;160;Cu;x;;
16;4;3;100;L;;x;
16;5;3;60;Y;;;
16;6;2;40;P;;;Stick missing
16;7;3;70;Y;;;
16;8;2;40;P;;;Stick missing
16;9;2;60;G;;x;Stick missing
16;10;4;180;U;;x;
16;11;2;30;G;;;Stick missing
16;12;2;30;C;;;Stick missing
16;13;2;40;Y;;;Stick missing
16;14;3;140;Cu;;;2 trees next to each other, 1 removed later
16;15;4;200;Cu;;;2 trees next to each other, 1 removed later
16;16;3;50;Y;;;
16;17;4;60;P;;;
16;18;3;30;G;;;Stick missing
16;19;3;40;G;;;Stick missing
16;20;4;160;Cu;;;
16;21;2;30;L;;;replacement delivery 10/23 Old stock right next to it (Yvyra pyta)
16;22;2;30;G;;;Stick missing
16;23;2;10;P;;;Stick missing Replace?
16;24;4;140;Ti;;;replacement delivery 10/23
16;25;4;120;U;;;
16;26;3;70;L;x;;Old stock right next to it (?)
16;27;0;0;L;;;Stick missing nothing to see
16;28;3;70;Y;;;
16;29;2;20;L;;;Stick missing
16;30;0;0;L;;;Stick missing Replace? nothing to see
16;31;0;0;L;;;Stick missing Replace? nothing to see
16;32;2;60;L;;;Shrub next to it to be removed Stick missing
16;33;3;40;Cu;;;replacement delivery 10/23
16;34;3;60;G;;;Stick missing
16;35;3;80;Y;;;
16;36;3;40;P;;;Stick missing
16;37;3;100;Y;;;Stick missing
17;1;4;200;Y;;;2 trees next to each other, 1 removed later
17;2;3;40;G;;;Stick missing
17;3;3;40;G;;;Stick missing
17;4;3;180;Cu;;;
17;5;2;30;G;;;replacement delivery 10/23
17;6;3;60;Y;;;
17;7;4;200;Cu;;;
17;8;4;150;Ti;;;2 trees next to each other, 1 removed later
17;9;4;200;Cu;;;
17;10;4;200;Cu;;;2 trees next to each other, 1 removed later
17;11;3;50;P;;;
17;12;4;110;L;;;
17;13;2;20;P;;;Stick missing
17;14;2;40;L;;;Stick missing
17;15;3;70;P;;;Stick missing
17;16;2;50;Y;;;Stick missing
17;17;2;30;G;;;Stick missing
17;18;3;160;Cu;;;
17;19;4;70;L;;;Stick missing
17;20;4;110;G;;;Stick missing
17;21;2;60;P;;;Stick missing
17;22;2;60;Y;;;
17;23;2;50;G;;;Stick missing
17;24;4;100;L;;;
17;25;0;0;Y;;;Stick missing nothing to see Old stock right next to it (?)
17;26;4;100;P;;;
17;27;3;50;G;;;Stick missing
17;28;3;90;Y;;;
17;29;4;70;G;;;Stick missing
17;30;3;80;L;;;
17;31;4;180;Y;;;
17;32;3;70;P;;x;
17;33;4;140;U;;x;Stick missing
17;34;4;90;Y;;;Stick missing
17;35;4;200;Cu;;;
17;36;2;60;L;;;Stick missing
17;37;4;70;P;;;Stick missing
18;1;4;70;L;;;Stick missing
18;2;3;180;Cu;x;;
18;3;2;140;G;;;Stick missing
18;4;4;180;Cu;;;2 trees next to each other, 1 removed later
18;5;4;200;Cu;;;
18;6;4;120;Y;;;Stick missing
18;7;4;90;L;;;
18;8;4;200;Cu;;;
18;9;4;120;U;;;Stick missing
18;10;4;160;Ti;;;replacement delivery 10/23
18;11;4;200;Cu;;;2 trees next to each other, 1 removed later
18;12;3;70;L;;;Stick missing
18;13;0;0;P;;;Stick missing nothing to see
18;14;3;90;Y;;;
18;15;3;70;L;;;Stick missing
18;16;3;80;L;;;Stick missing
18;17;2;30;G;;;Stick missing
18;18;4;140;Y;;;Stick missing
18;19;2;30;G;;;Stick missing
18;20;3;50;Y;;;Stick missing
18;21;4;150;L;;;
18;22;4;130;P;;;Stick missing
18;23;3;70;P;;;Stick missing
18;24;3;100;Cu;;;replacement delivery 10/23
18;25;4;140;Y;;;Stick missing
18;26;4;150;Y;;;Stick missing
18;27;4;90;P;;;Stick missing
18;28;3;90;L;;;Stick missing
18;29;4;110;Y;;;Stick missing
18;30;3;120;Y;;;Stick missing 2 trees next to each other, 1 removed later Old stock right next to it (Yvyra pyta)
18;31;3;100;Y;;;Stick missing
18;32;2;70;L;;;Stick missing
18;33;4;100;G;;;Stick missing
18;34;4;130;L;;;Stick missing
18;35;4;160;Ti;;;replacement delivery 10/23
18;36;4;110;L;;;Stick missing
18;37;3;120;L;;;Stick missing
19;1;3;50;L;;;Stick missing
19;2;3;130;Cu;;;
19;3;3;90;G;;;Stick missing
19;4;0;0;P;;;Stick missing Replace? nothing to see
19;5;2;20;L;;;replacement delivery 10/23
19;6;3;90;Cu;;;
19;7;3;40;G;;;Stick missing
19;8;3;60;G;;;Stick missing
19;9;4;150;U;;;
19;10;2;40;G;x;;Stick missing
19;11;4;200;Cu;;;
19;12;3;90;G;;;Stick missing
19;13;2;20;P;;;Stick missing Replace?
19;14;4;80;Y;;;
19;15;2;30;Y;;;Stick missing
19;16;3;60;Y;;;
19;17;3;70;Y;;;
19;18;3;50;Y;;;Stick missing
19;19;2;50;L;;;Stick missing
19;20;2;40;Cu;;;replacement delivery 10/23
19;21;3;80;Y;;;Stick missing
19;22;4;200;Y;;;
19;23;4;160;Y;;;
19;24;3;80;Y;;;
19;25;4;110;Y;;;
19;26;2;25;P;;;Stick missing Replace?
19;27;4;180;Y;;;
19;28;3;150;Ti;;;replacement delivery 10/23
19;29;3;100;Y;;;
19;30;4;200;Cu;;;
19;31;0;0;L;;;Stick missing nothing to see
19;32;4;200;G;;;
19;33;4;200;Y;;;
19;34;4;200;Y;;;
19;35;4;150;Y;;;
19;36;4;120;L;;;
19;37;3;120;Cu;;;
20;1;4;160;Y;;;
20;2;3;40;G;;;Stick missing
20;3;4;130;Y;;;
20;4;3;110;G;;;Stick missing
20;5;3;100;Y;;;
20;6;3;60;L;;;Stick missing
20;7;3;160;Y;;;
20;8;2;5;P;;;Stick missing Replace?
20;9;2;50;Y;;;Stick missing
20;10;2;20;Y;;;Stick missing recovering
20;11;2;30;G;;;Stick missing
20;12;3;80;L;;;
20;13;2;20;P;;;Stick missing Replace?
20;14;0;0;Y;;;Stick missing nothing to see
20;15;3;90;Y;;;
20;16;2;10;P;;;Stick missing Replace? cut marks
20;17;3;60;Y;;;Stick missing
20;18;3;60;Y;;;Stick missing
20;19;2;40;P;;;Stick missing
20;20;2;30;Y;;;Stick missing
20;21;2;50;L;;;Stick missing
20;22;0;0;Y;;;Stick missing Replace? nothing to see
20;23;2;25;G;;;replacement delivery 10/23
20;24;2;50;Y;;;Stick missing
20;25;3;80;P;;;Stick missing
20;26;2;40;G;;;Stick missing
20;27;2;40;Y;;;Stick missing
20;28;3;80;L;;;
20;29;2;50;Y;;;Stick missing Old stock right next to it(Curupa'y)
20;30;4;160;Cu;;;
20;31;2;60;C;;;Stick missing
20;32;4;150;L;;x;
20;33;4;200;Y;;;
20;34;4;120;G;;;Stick missing
20;35;4;120;Y;;;
20;36;4;200;U;;;
20;37;3;140;Cu;;;
21;1;3;120;Y;;;
21;2;4;100;L;;;
21;3;4;180;Cu;;;
21;4;4;160;Y;;;
21;5;3;100;P;;;Stick missing
21;6;3;140;L;;;
21;7;4;200;Cu;;;
21;8;3;60;G;;;Stick missing
21;9;2;40;Y;;;Stick missing 2 trees next to each other, 1 removed later
21;10;3;200;Cu;;;
21;11;4;110;L;;;
21;12;2;20;P;;;Stick missing Replace?
21;13;2;30;G;;;Stick missing
21;14;3;160;Cu;;;
21;15;2;25;C;;;Stick missing
21;16;2;50;Y;;;Stick missing
21;17;2;30;L;;;Stick missing 2 trees next to each other, 1 removed later
21;18;2;30;G;;;Stick missing
21;19;2;40;Y;;;Stick missing
21;20;2;80;L;;;
21;21;4;200;Cu;;;
21;22;4;180;Y;;;
21;23;3;140;Cu;;;
21;24;2;30;G;;;Stick missing Replace?
21;25;4;180;Cu;;;
21;26;2;50;Y;;;
21;27;4;110;Cu;;;Stick missing
21;28;3;60;Y;;;Stick missing
21;29;2;40;G;;;Stick missing
21;30;3;50;Y;;;Stick missing
21;31;2;50;L;;;Stick missing
21;32;2;30;Y;;;Stick missing recovering
21;33;2;20;G;;;replacement delivery 10/23
21;34;4;140;Y;;;
21;35;3;100;L;;;
21;36;3;110;Cu;;;
21;37;4;130;G;;;Stick missing
22;1;4;150;G;;;
22;2;4;130;P;;x;
22;3;2;40;P;;;Stick missing
