row;position;condition;heigth;species;ants;locusts;notes
5;2;4;100;Cu;;;
5;3;3;30;Y;;;
5;4;3;40;G;;;
5;5;2;5;C;;;
5;6;3;30;Y;;;
5;7;3;15;C;;;recovering
5;8;3;30;G;;;
5;9;2;20;P;;;
5;10;3;30;G;;x;
5;11;3;30;Y;;;
5;12;3;30;L;;;
5;13;0;0;?;;;
5;14;3;25;G;;;
5;15;0;0;P;;;
5;16;4;100;Cu;;;
5;17;4;60;Cu;;;
5;18;3;20;L;;;
5;19;3;30;Y;;;
5;20;2;20;Y;;;
5;21;2;20;P;;;recovering
5;22;3;40;Cu;;;
5;23;3;40;Y;;;
5;24;3;25;L;;;
5;25;0;0;P;;;
5;26;3;20;L;;;
5;27;2;25;C;;;
5;28;3;40;G;;;
5;29;3;20;L;;;
5;30;2;20;C;;;
5;31;3;30;Y;;;
5;32;0;0;P;;;
5;33;3;15;L;;;
5;34;2;;P;;;
5;35;3;40;Y;;;
5;36;2;15;L;;;
5;37;4;60;Cu;;;
5;38;3;30;Y;;;
6;1;3;50;Cu;;;2 trees next to each other, 1 removed later
6;2;3;25;Y;;;
6;3;3;30;Y;;;
6;4;3;20;Cu;;;2 trees next to each other, 1 removed later
6;5;3;30;Y;;;
6;6;0;0;P;;;
6;7;3;40;G;;;
6;8;3;40;Y;;;recovering
6;9;2;30;Y;;;
6;10;2;20;P;;;recovering
6;11;3;30;U;;;
6;12;0;0;P;;;
6;13;2;40;Y;;;
6;14;0;0;Y;;;
6;15;3;30;Y;;;
6;16;3;30;Y;;;
6;17;3;20;L;;;
6;18;3;30;Y;;;
6;19;3;25;U;;;
6;20;2;20;L;;;recovering
6;21;3;40;Y;;;2 trees next to each other, 1 removed later
6;22;3;30;L;;;
6;23;3;50;Cu;;;
6;24;3;40;Y;;;
6;25;3;30;Y;;;
6;26;3;30;Y;;;
6;27;3;30;L;;;new leaves less severely affected
6;28;3;40;Y;;;
6;29;3;50;Cu;;;
6;30;3;30;Y;;;
6;31;0;0;L;;;
6;32;3;30;Y;;;
6;33;3;15;P;;x;
6;34;3;40;Cu;;;
6;35;0;0;L;;;
6;36;3;20;Y;;;
6;37;4;100;Cu;x;;
6;38;3;30;G;;;
7;1;3;40;Y;;;
7;2;3;30;G;;;
7;3;3;40;G;;;
7;4;3;30;Y;;;
7;5;3;25;C;;;
7;6;4;60;Cu;;;
7;7;3;40;Y;;;
7;8;4;70;Cu;;;
7;9;4;40;L;;;
7;10;3;50;Cu;x;;2 trees next to each other, 1 removed later
7;11;3;20;Y;;;
7;12;3;25;Y;;;
7;13;0;0;Y;;;
7;14;3;25;L;;;
7;15;3;40;Y;;;
7;16;3;20;P;;;
7;17;3;30;L;;;
7;18;3;25;G;;x;
7;19;3;40;Cu;;;
7;20;2;15;Y;;;recovering
7;21;2;20;G;;;recovering
7;22;3;40;Y;;;cut marks
7;23;3;40;Y;;;
7;24;2;40;Y;;;
7;25;3;50;G;;;
7;26;2;15;L;;;new leaves less severely affected
7;27;3;40;Y;;;
7;28;3;30;P;;x;
7;29;3;40;Y;;;
7;30;3;25;U;x;;
7;31;2;25;Y;;;
7;32;4;70;Cu;;;
7;33;3;30;Y;;;
7;34;2;25;Y;;;recovering
7;35;3;40;Cu;;;
7;36;0;0;?;;;nothing to see
7;37;0;0;?;;;
7;38;3;25;G;;x;
8;1;3;30;G;;x;
8;2;3;25;Y;;;
8;3;2;20;C;;;
8;4;3;40;Y;;;
8;5;2;5;Y;;;recovering
8;6;0;0;P;;;
8;7;2;30;L;x;;
8;8;2;20;P;x;;recovering
8;9;2;30;Y;x;;recovering
8;10;3;40;Y;;;
8;11;4;40;U;;;
8;12;3;20;P;;;
8;13;2;;Y;;;
8;14;3;40;Y;;;
8;15;3;25;G;;;
8;16;3;20;G;;;
8;17;3;15;L;;;recovering
8;18;0;0;P;;;
8;19;3;20;L;;;
8;20;3;50;U;;;
8;21;3;30;Y;x;;
8;22;3;30;G;;;
8;23;3;30;Y;;;
8;24;2;20;L;;x;
8;25;3;30;Y;;;
8;26;3;30;Y;;;
8;27;2;30;G;;;
8;28;4;90;Cu;;;2 trees next to each other, 1 removed later
8;29;4;60;G;;;
8;30;3;40;Y;;;
8;31;3;40;G;;x;
8;32;3;30;Y;;;
8;33;3;30;G;;x;
8;34;3;60;Cu;;;
8;35;3;20;U;;;
8;36;3;30;U;;;
8;37;4;70;Cu;x;;
8;38;3;30;Y;;;
9;1;4;60;Cu;;;2 trees next to each other, 1 removed later
9;2;3;30;Y;;;
9;3;3;40;G;;;
9;4;4;80;Cu;;;2 trees next to each other, 1 removed later
9;5;3;40;Y;;;
9;6;3;40;U;;;
9;7;3;20;G;x;;
9;8;3;40;G;x;;
9;9;3;30;U;;;
9;10;2;30;G;;x;
9;11;3;30;Y;;;
9;12;3;30;Y;;;
9;13;3;30;L;;;
9;14;3;40;Y;;;
9;15;3;15;L;;;
9;16;3;40;Y;;;
9;17;3;20;P;;;Old stock right next to it (Yvyra pyta)
9;18;3;20;L;;;
9;19;3;30;G;;;
9;20;3;20;L;;;
9;21;2;15;L;;;recovering
9;22;3;20;P;;;
9;23;3;25;G;;;
9;24;3;20;U;;;
9;25;3;40;Cu;;;
9;26;0;0;P;;;
9;27;3;30;Y;;;
9;28;3;40;Y;;;
9;29;3;40;Y;;;
9;30;3;20;L;;;new leaves less severely affected
9;31;0;0;P;;;
9;32;3;30;Y;;;
9;33;0;0;P;;;
9;34;3;20;L;;;new leaves less severely affected
9;35;2;20;Y;x;;
9;36;3;40;G;;;
9;37;2;30;Y;;;
9;38;3;40;G;;;
10;1;3;40;Y;;;
10;2;3;30;G;;;
10;3;3;60;Cu;;;2 trees next to each other, 1 removed later
10;4;3;50;G;;;
10;5;3;30;Y;;;
10;6;3;40;G;;;
10;7;3;30;Y;;;
10;8;2;20;Y;;;
10;9;3;30;Y;;;
10;10;2;30;Y;;;Old stock right next to it (Yvyra pyta)
10;11;4;120;Cu;;;
10;12;3;50;G;x;;
10;13;3;30;Y;;;Old stock right next to it (Yvyra pyta)
10;14;3;50;G;;;
10;15;3;30;Y;;;
10;16;3;20;L;;;
10;17;3;25;P;;;
10;18;0;0;Y;;;
10;19;4;40;U;;;
10;20;4;70;Y;;;
10;21;3;30;Y;;;
10;22;4;60;Cu;;;
10;23;3;30;Y;;;
10;24;3;40;Cu;;;
10;25;2;25;L;;;new leaves less severely affected
10;26;3;40;Y;;;
10;27;3;30;G;;;
10;28;3;30;Y;;;
10;29;3;25;Y;;;
10;30;3;25;Y;;;
10;31;4;50;L;;;
10;32;3;40;Y;;;
10;33;4;25;C;;;
10;34;3;50;G;;;
10;35;3;40;Cu;;;
10;36;3;25;L;;;
10;37;0;0;P;;;
11;1;3;30;Y;;;
11;2;4;50;Y;;;
11;3;4;110;Cu;;;
11;4;3;30;G;;;
11;5;3;30;Y;;;
11;6;3;40;P;;;
11;7;4;70;Cu;;;
11;8;0;0;P;;;
11;9;3;10;P;;;
11;10;;;Y;;;Old stock (Yvyra pyta)
11;11;3;40;Cu;;;
11;12;3;30;L;;;
11;13;3;40;Cu;;;
11;14;3;25;Y;;;
11;15;3;15;P;;;
11;16;3;30;Y;;;
11;17;2;10;L;;;2 trees next to each other, 1 removed later
11;18;3;20;P;;;recovering
11;19;0;0;P;;;
11;20;3;30;Y;;;
11;21;3;20;P;;;
11;22;3;25;P;;;
11;23;3;30;Y;;;
11;24;3;50;Cu;;;Old stock right next to it (Yvyra pyta)
11;25;4;60;Cu;;;Old stock right next to it (Yvyra pyta)
11;26;3;25;Y;;;
11;27;4;50;Cu;;;
11;28;2;15;L;;;
11;29;4;80;Cu;;;
11;30;3;20;P;;;
11;31;2;5;L;;;
11;32;3;30;Y;;;
11;33;3;30;G;;;
11;34;3;50;Cu;;;
11;35;2;30;Y;;;
11;36;3;30;Y;;;
11;37;2;30;P;x;;
11;38;3;20;P;;;
11;39;2;15;L;;;recovering
12;1;3;30;L;;;new leaves less severely affected
12;2;3;30;G;;;
12;3;3;40;G;;x;
12;4;3;20;G;;;
12;5;3;20;Y;;;
12;6;3;40;L;;;
12;7;3;30;Cu;;;
12;8;3;25;Y;;;
12;9;3;15;P;;;
12;10;2;25;L;;;
12;11;4;50;Cu;;;
12;12;2;15;Y;x;;2 trees next to each other, 1 removed later
12;13;3;20;L;;;
12;14;3;50;Cu;;;
12;15;3;15;P;;;recovering
12;16;3;50;G;;;
12;17;3;80;Cu;;;
12;18;3;30;Y;;;
12;19;3;20;P;x;x;
12;20;2;5;Y;;;
12;21;3;25;P;;x;
12;22;2;15;P;;;recovering
12;23;3;30;Y;;;
12;24;4;70;Cu;;;
12;25;2;15;L;;;recovering
12;26;3;15;L;;;
12;27;3;30;U;;;
12;28;3;25;L;;;
12;29;3;40;G;;;
12;30;3;25;Cu;x;;Old stock right next to it (Yvyra pyta)
12;31;2;5;P;;;recovering
12;32;3;30;G;;x;
12;33;3;40;Cu;;;
12;34;3;30;Y;;;
12;35;3;40;G;;;
12;36;3;30;L;;;
12;37;3;30;P;;;
13;1;3;25;Y;;;
13;2;3;20;P;;;
13;3;2;10;Y;;;
13;4;3;25;L;;;
13;5;3;30;G;;;
13;6;3;40;Y;;;
13;7;3;15;L;;;
13;8;0;0;P;;;nothing to see
13;9;4;60;Cu;;;
13;10;3;25;P;;x;
13;11;3;30;Y;;;
13;12;3;25;P;;;
13;13;3;25;Y;;;
13;14;3;20;L;;;
13;15;3;25;P;;;
13;16;3;60;Cu;;;
13;17;3;25;Y;;;
13;18;3;25;Y;;;
13;19;4;110;Cu;;;
13;20;3;30;G;;;
13;21;3;20;Y;;;
13;22;3;30;Cu;;;
13;23;3;25;L;;;
13;24;3;30;Y;;;
13;25;3;60;G;;;
13;26;2;20;P;;;recovering
13;27;3;25;Y;;;
13;28;3;30;Y;;;Old stock right next to it (Paraiso)
13;29;3;30;Cu;;;
13;30;4;40;U;x;;Old stock right next to it (Yvyra pyta)
13;31;2;30;Y;;;
13;32;0;0;P;;;
13;33;3;30;Y;;;
13;34;3;50;Cu;;;
13;35;3;30;Y;;;
13;36;3;30;Y;;;
13;37;3;10;Y;;;
14;1;3;50;Cu;;;
14;2;2;20;C;;;
14;3;3;25;Y;;;
14;4;4;30;U;;;
14;5;3;40;Cu;;;
14;6;3;30;G;;;
14;7;3;30;Cu;;;
14;8;3;25;G;;;
14;9;0;0;P;;;
14;10;4;80;Cu;x;;2 trees next to each other, 1 removed later
14;11;3;25;L;;;new leaves less severely affected
14;12;3;30;Y;;;
14;13;3;50;G;;;
14;14;3;30;Y;;;
14;15;0;0;P;;;
14;16;2;25;Y;;;
14;17;3;20;L;;;
14;18;3;50;G;;;
14;19;2;30;Y;x;;
14;20;3;30;Y;;;
14;21;3;30;G;;;
14;22;3;25;L;;;
14;23;2;25;Y;;;
14;24;2;25;Y;;;
14;25;3;30;G;;;
14;26;3;25;Y;;;
14;27;3;30;G;;x;
14;28;3;25;U;;;
14;29;3;30;Y;;;
14;30;3;20;P;;;
14;31;4;40;Y;;;
14;32;3;40;Y;;;
14;33;3;30;L;;;
14;34;3;30;G;;;
14;35;4;40;P;x;;
14;36;3;30;Y;;;
14;37;4;40;Y;;;
15;1;3;25;P;;x;
15;2;0;0;Y;;;
15;3;4;30;U;;;
15;4;3;30;Cu;;;
15;5;3;25;L;x;;new leaves less severely affected
15;6;4;40;U;;;
15;7;3;25;G;;;
15;8;3;30;Y;;;
15;9;0;0;P;;;
15;10;3;25;U;;;
15;11;3;25;Y;;;
15;12;3;20;L;;;
15;13;3;30;G;;;
15;14;3;30;L;;;new leaves less severely affected
15;15;4;20;L;;;
15;16;2;30;G;;;
15;17;4;120;Cu;;;
15;18;2;15;P;;;recovering
15;19;0;0;P;;;
15;20;3;30;G;;;
15;21;3;20;Cu;;;Old stock right next to it (Yvyra pyta)
15;22;3;30;G;;;
15;23;2;3;Y;;;recovering
15;24;0;0;P;;;
15;25;2;5;L;;;
15;26;3;25;G;;;
15;27;3;25;P;;;
15;28;2;25;L;;;
15;29;3;25;U;;;
15;30;0;0;Y;;;nothing to see
15;31;4;60;Cu;;;
15;32;3;50;G;x;;
15;33;4;30;P;x;;
15;34;3;30;Y;;;
15;35;3;30;P;;;
15;36;3;25;Y;;;recovering
15;37;2;15;Cu;;;Old stock next to it (Curupa'y)
16;1;3;30;G;;x;
16;2;3;30;G;;x;
16;3;3;80;Cu;x;;2 trees next to each other, 1 removed later
16;4;3;20;L;;;new leaves less severely affected
16;5;3;30;Y;;;
16;6;3;30;P;;;
16;7;4;40;Y;;;
16;8;2;25;P;;;
16;9;4;60;G;;x;
16;10;4;50;U;;x;
16;11;3;30;G;;;
16;12;4;25;C;;;
16;13;3;30;Y;;;
16;14;3;60;Cu;;;2 trees next to each other, 1 removed later
16;15;4;90;Cu;;;2 trees next to each other, 1 removed later
16;16;3;40;Y;;;
16;17;4;40;P;;;
16;18;3;25;G;;;
16;19;3;30;G;;;
16;20;3;50;Cu;;;
16;21;0;0;P;;;Old stock right next to it (Yvyra pyta)
16;22;3;30;G;;;
16;23;2;5;P;;;recovering
16;24;0;0;P;;;nothing to see
16;25;4;40;U;;;
16;26;3;30;L;x;;
16;27;3;15;L;;;
16;28;3;30;Y;;;
16;29;3;20;L;;;
16;30;3;15;L;;;
16;31;3;20;L;;;
16;32;3;25;L;;;
16;33;0;0;Y;;;nothing to see
16;34;4;40;G;;;
16;35;3;30;Y;;;
16;36;3;25;P;x;;new leaves less severely affected
16;37;3;25;Y;;;
17;1;4;40;Y;;;
17;2;3;30;G;;;
17;3;3;30;G;;;
17;4;4;60;Cu;x;;
17;5;0;0;P;;;nothing to see
17;6;3;30;Y;;;
17;7;4;90;Cu;;;
17;8;0;0;P;;;
17;9;4;110;Cu;;;
17;10;4;90;Cu;;;2 trees next to each other, 1 removed later
17;11;3;40;P;;;
17;12;4;50;L;;;
17;13;3;15;P;;;
17;14;3;25;L;x;;
17;15;3;40;P;;x;
17;16;3;30;Y;;;
17;17;3;25;G;;;
17;18;3;40;Cu;;;
17;19;3;20;L;;;
17;20;3;40;G;;;
17;21;3;25;P;;;recovering
17;22;3;30;Y;;;
17;23;4;50;G;;;
17;24;4;40;L;;;
17;25;3;40;Y;;;
17;26;4;50;P;;;
17;27;3;30;G;;;
17;28;3;30;Y;;;
17;29;3;40;G;;;
17;30;3;30;L;;;
17;31;3;40;Y;;;
17;32;3;60;P;;x;
17;33;3;30;U;;x;
17;34;3;30;Y;;;
17;35;4;80;Cu;;;
17;36;3;25;L;x;x;
17;37;4;50;P;;;
18;1;3;30;L;;;
18;2;3;60;Cu;x;;2 trees next to each other, 1 removed later
18;3;3;30;G;x;;
18;4;4;90;Cu;;;2 trees next to each other, 1 removed later
18;5;4;100;Cu;;;
18;6;3;30;Y;;;
18;7;3;25;L;;;
18;8;4;160;Cu;;;
18;9;3;30;U;;;
18;10;0;0;C;;;
18;11;4;90;Cu;;;2 trees next to each other, 1 removed later
18;12;3;25;L;;;
18;13;3;15;P;;;recovering
18;14;3;30;Y;;;
18;15;4;30;L;;;
18;16;4;40;L;;;
18;17;3;30;G;;x;
18;18;3;30;Y;;;
18;19;3;25;G;;;
18;20;3;40;Y;;;
18;21;4;70;L;;;new leaves less severely affected
18;22;3;30;P;;;recovering
18;23;3;50;P;;;
18;24;0;0;P;;;
18;25;3;30;Y;;;
18;26;2;30;Y;;;
18;27;4;30;P;;;
18;28;3;30;L;x;;
18;29;4;40;Y;;;
18;30;3;30;Y;;;Old stock right next to it (Yvyra pyta)
18;31;3;30;Y;;;
18;32;3;30;L;x;;
18;33;3;40;G;;;
18;34;3;30;L;;x;
18;35;0;0;L;;;nothing to see
18;36;4;40;L;;;
18;37;3;25;L;;;
19;1;2;;L;;;
19;2;4;70;Cu;;;2 trees next to each other, 1 removed later
19;3;3;25;G;;;
19;4;2;5;P;;;recovering
19;5;0;0;P;;;
19;6;3;50;Cu;;;
19;7;3;40;G;;x;
19;8;3;40;G;;;
19;9;4;60;U;;;
19;10;3;40;G;x;;
19;11;4;100;Cu;;;
19;12;3;40;G;;x;
19;13;3;15;P;;;
19;14;3;30;Y;;;
19;15;3;25;Y;;;
19;16;3;30;Y;;;
19;17;3;30;Y;;;
19;18;2;25;Y;;;
19;19;3;30;L;;;
19;20;0;0;Y;;;
19;21;3;30;Y;;;
19;22;4;50;Y;;;
19;23;3;30;Y;;;
19;24;3;30;Y;;;
19;25;4;30;Y;;;
19;26;3;30;P;;;
19;27;4;50;Y;;;
19;28;0;0;P;;;
19;29;3;30;Y;;;
19;30;4;100;Cu;;;
19;31;2;10;L;;;
19;32;4;50;G;;;
19;33;4;40;Y;;;
19;34;4;40;Y;;;
19;35;4;30;Y;;;
19;36;4;50;L;;;
19;37;3;40;Cu;;;
20;1;4;40;Y;;;
20;2;3;40;G;;;
20;3;3;30;Y;;;
20;4;2;15;G;;;
20;5;3;30;Y;;;
20;6;3;25;L;;;
20;7;3;40;Y;;;
20;8;2;5;P;;;
20;9;3;30;Y;;;
20;10;2;5;Y;;;recovering
20;11;2;25;G;;;
20;12;4;30;L;;;2 trees next to each other, 1 removed later new leaves less severely affected
20;13;2;20;P;x;;recovering
20;14;2;10;Y;;;recovering
20;15;3;30;Y;;;
20;16;3;30;P;;;
20;17;3;30;Y;;;
20;18;3;25;Y;;;
20;19;3;20;P;;;
20;20;2;30;Y;;;
20;21;3;30;L;;;
20;22;2;25;Y;;;
20;23;0;0;P;;;
20;24;3;30;Y;;;
20;25;3;30;P;;x;
20;26;3;40;G;;;
20;27;3;20;Y;;;
20;28;3;30;L;;;
20;29;2;25;Y;;;Old stock right next to it (Curupa'y)
20;30;4;90;Cu;;;
20;31;2;25;C;;;
20;32;3;30;L;;;new leaves less severely affected
20;33;3;30;Y;;;
20;34;4;50;G;;;
20;35;3;30;Y;;;
20;36;4;40;U;;;
20;37;3;60;Cu;;;
21;1;3;40;Y;;;
21;2;4;50;L;;;
21;3;3;70;Cu;;;2 trees next to each other, 1 removed later
21;4;3;40;Y;;;
21;5;3;30;P;;;
21;6;3;40;L;;;
21;7;4;100;Cu;;;
21;8;3;40;G;;;
21;9;2;30;Y;;;
21;10;3;50;Cu;;;
21;11;4;60;L;;;
21;12;2;20;P;;;
21;13;3;30;G;;;
21;14;4;100;Cu;;;
21;15;3;20;C;;;
21;16;2;30;Y;;;
21;17;3;20;L;;;2 trees next to each other, 1 removed later recovering
21;18;3;30;G;;;
21;19;2;30;Y;;;
21;20;4;60;L;;;
21;21;3;80;Cu;;;2 trees next to each other, 1 removed later
21;22;3;30;Y;;;
21;23;4;90;Cu;;;2 trees next to each other, 1 removed later
21;24;3;30;G;;;
21;25;4;80;Cu;;;
21;26;3;30;Y;;;
21;27;4;90;Cu;;;
21;28;3;30;Y;;;
21;29;3;40;G;;;Old stock right next to it (?)
21;30;3;30;Y;;;
21;31;3;30;L;;;new leaves less severely affected
21;32;2;30;Y;;;recovering
21;33;0;0;?;;;nothing to see
21;34;3;30;Y;;;
21;35;3;30;L;x;;
21;36;4;50;Cu;;;2 trees next to each other, 1 removed later
21;37;3;40;G;;;
22;1;3;40;G;;;
22;2;4;50;P;;;
22;3;2;30;P;;;2 trees next to each other, 1 removed later
22;4;4;80;L;;;
22;5;3;70;Cu;;;
22;6;3;50;Cu;;;
22;7;3;30;Y;;;
22;8;3;40;L;;;
22;9;3;30;Y;;;
22;10;3;40;G;;x;
22;11;3;30;G;;;
22;12;3;30;Y;;;
22;13;3;30;Y;;;
22;14;3;30;P;;;
22;15;3;30;L;;;
22;16;3;30;P;;;
22;17;3;40;L;;;
22;18;3;60;Cu;;;
22;19;4;30;L;;;
22;20;3;30;G;;;
22;21;3;30;G;x;x;
22;22;2;15;L;;;2 trees next to each other, 1 removed later recovering
22;23;4;50;L;;;
22;24;3;30;Y;;;
22;25;2;30;Y;;;
22;26;3;40;Y;;;
22;27;3;30;G;;;
22;28;2;15;L;x;;2 trees next to each other, 1 removed later recovering
22;29;2;30;P;x;;recovering
22;30;3;30;Y;;;
22;31;4;80;Cu;;;
22;32;4;60;Y;;;
22;33;3;40;L;x;x;
22;34;3;30;Y;;;
22;35;3;30;Y;;;
22;36;4;50;Y;;;
23;1;4;40;Y;;;
23;2;0;0;P;;;nothing to see
23;3;3;30;Y;;;
23;4;4;70;Cu;;;
23;5;3;60;Cu;;;
23;6;4;40;Y;;;
23;7;3;20;P;;;
23;8;3;50;Cu;;;
23;9;2;40;Y;;;
23;10;3;40;L;;;
23;11;3;40;Y;;;
23;12;2;40;Y;;;
23;13;3;40;Y;;;
23;14;2;15;P;x;x;recovering
23;15;0;0;P;;;
23;16;3;50;L;;;new leaves less severely affected
23;17;3;50;Cu;;;
23;18;3;40;L;;;
23;19;3;40;G;;;
23;20;3;80;Cu;;;
23;21;4;50;L;;;
23;22;4;90;Cu;;;
23;23;3;20;L;;;
23;24;3;60;Cu;;;
23;25;3;30;G;;;
23;26;2;30;Y;;;
23;27;3;30;G;;;
23;28;3;40;Cu;;;2 trees next to each other, 1 removed later
23;29;2;20;G;;;
23;30;3;30;L;;;
23;31;3;25;Y;;;
23;32;;;;;;Old stock (Yvyra pyta)
23;33;3;30;Y;;;
23;34;3;40;Y;;;
23;35;3;30;Y;;;
23;36;3;40;L;;;
23;37;3;40;L;;;
24;1;2;;Y;;;
24;2;3;15;C;;;recovering
24;3;0;0;P;;;
24;4;0;0;P;;;
24;5;3;80;Cu;;;
24;6;3;30;Y;;;
24;7;3;30;Y;;;
24;8;3;20;L;;;
24;9;3;30;Y;;;
24;10;3;30;G;;;
24;11;4;40;P;;;
24;12;3;40;G;x;;
24;13;3;30;P;;;
24;14;3;40;L;;;
24;15;3;40;Y;;;
24;16;4;40;Y;;;
24;17;3;20;P;;;recovering
24;18;4;60;L;;;
24;19;3;30;Y;;;
24;20;3;40;L;;x;
24;21;3;50;G;;;
24;22;3;15;L;;;recovering
24;23;2;5;P;;;recovering
24;24;3;40;L;;;new leaves less severely affected
24;25;3;80;Cu;;;
24;26;3;50;L;;;
24;27;3;40;G;;;
24;28;3;30;Y;;;
24;29;0;0;?;;;nothing to see
24;30;2;20;Cu;;;recovering
24;31;3;30;Y;;;
24;32;3;25;P;x;;
24;33;3;50;L;;;
24;34;0;0;P;;;nothing to see
24;35;3;30;L;;;
24;36;0;0;C;;;
25;1;3;50;L;;;
25;2;3;40;Y;;;
25;3;3;40;G;x;;2 trees next to each other, 1 removed later
25;4;3;50;Cu;;;
25;5;3;30;P;;x;
25;6;2;20;P;x;;
25;7;3;40;L;;;
25;8;3;20;P;x;;
25;9;4;100;Cu;x;;
25;10;4;100;Cu;;;
25;11;4;70;L;;;2 trees next to each other, 1 removed later
25;12;0;0;P;;;
25;13;3;30;L;;;
25;14;2;10;L;;;recovering
25;15;3;20;C;;;2 trees next to each other, 1 removed later
25;16;2;20;P;;;
25;17;0;0;P;;;
25;18;3;40;P;;x;
25;19;4;80;L;;;
25;20;2;15;L;;;recovering
25;21;3;40;G;;;
25;22;3;40;L;;;
25;23;3;40;G;;;
25;24;3;50;G;;;
